wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0% 0/276 [00:00<?, ?it/s]Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.6691, 'grad_norm': 0.5422495007514954, 'learning_rate': 6.845014390777595e-05, 'epoch': 0.81}
{'loss': 0.5774, 'grad_norm': 0.5512680411338806, 'learning_rate': 6.790001933849899e-05, 'epoch': 0.82}
{'loss': 0.625, 'grad_norm': 0.5342358946800232, 'learning_rate': 6.734739796250476e-05, 'epoch': 0.83}
{'loss': 0.6033, 'grad_norm': 0.6341172456741333, 'learning_rate': 6.679235686288114e-05, 'epoch': 0.83}
{'loss': 0.6992, 'grad_norm': 0.5972502827644348, 'learning_rate': 6.623497346023418e-05, 'epoch': 0.84}
{'loss': 0.6933, 'grad_norm': 0.5361260771751404, 'learning_rate': 6.567532550188907e-05, 'epoch': 0.85}
{'loss': 0.6368, 'grad_norm': 0.5292755365371704, 'learning_rate': 6.511349105104534e-05, 'epoch': 0.86}
{'loss': 0.7032, 'grad_norm': 0.5696730017662048, 'learning_rate': 6.454954847588824e-05, 'epoch': 0.86}
{'loss': 0.6376, 'grad_norm': 0.5646306872367859, 'learning_rate': 6.39835764386573e-05, 'epoch': 0.87}
{'loss': 0.6832, 'grad_norm': 0.5672775506973267, 'learning_rate': 6.341565388467425e-05, 'epoch': 0.88}
{'loss': 0.6114, 'grad_norm': 0.5833556056022644, 'learning_rate': 6.284586003133097e-05, 'epoch': 0.88}
{'loss': 0.4621, 'grad_norm': 0.5546903610229492, 'learning_rate': 6.227427435703997e-05, 'epoch': 0.89}
{'loss': 0.7193, 'grad_norm': 0.5866051316261292, 'learning_rate': 6.170097659014811e-05, 'epoch': 0.9}
{'loss': 0.6048, 'grad_norm': 0.5695101022720337, 'learning_rate': 6.112604669781572e-05, 'epoch': 0.91}
{'loss': 0.5838, 'grad_norm': 0.5585529208183289, 'learning_rate': 6.054956487486212e-05, 'epoch': 0.91}
{'loss': 0.7032, 'grad_norm': 0.5916923880577087, 'learning_rate': 5.997161153257963e-05, 'epoch': 0.92}
{'loss': 0.7125, 'grad_norm': 0.5964103937149048, 'learning_rate': 5.9392267287517325e-05, 'epoch': 0.93}
{'loss': 0.5588, 'grad_norm': 0.6202006340026855, 'learning_rate': 5.8811612950236096e-05, 'epoch': 0.93}
{'loss': 0.587, 'grad_norm': 0.5348137617111206, 'learning_rate': 5.8229729514036705e-05, 'epoch': 0.94}
{'loss': 0.6588, 'grad_norm': 0.5941336154937744, 'learning_rate': 5.76466981436623e-05, 'epoch': 0.95}
{'loss': 0.6398, 'grad_norm': 0.603137731552124, 'learning_rate': 5.70626001639771e-05, 'epoch': 0.96}
{'loss': 0.6671, 'grad_norm': 0.5848292708396912, 'learning_rate': 5.647751704862263e-05, 'epoch': 0.96}
{'loss': 0.5847, 'grad_norm': 0.5602355003356934, 'learning_rate': 5.589153040865332e-05, 'epoch': 0.97}
{'loss': 0.4823, 'grad_norm': 0.6104561686515808, 'learning_rate': 5.5304721981152906e-05, 'epoch': 0.98}
{'loss': 0.6354, 'grad_norm': 0.6426918506622314, 'learning_rate': 5.4717173617833114e-05, 'epoch': 0.99}
{'loss': 0.6772, 'grad_norm': 0.5710558891296387, 'learning_rate': 5.4128967273616625e-05, 'epoch': 0.99}
{'loss': 0.7352, 'grad_norm': 0.6395516395568848, 'learning_rate': 5.354018499520536e-05, 'epoch': 1.0}
{'loss': 0.4427, 'grad_norm': 0.5260663628578186, 'learning_rate': 5.2950908909636146e-05, 'epoch': 1.01}
{'loss': 0.4749, 'grad_norm': 0.5402015447616577, 'learning_rate': 5.236122121282517e-05, 'epoch': 1.01}
{'loss': 0.4957, 'grad_norm': 0.558646559715271, 'learning_rate': 5.1771204158102705e-05, 'epoch': 1.02}
{'loss': 0.4956, 'grad_norm': 0.5576881170272827, 'learning_rate': 5.11809400447399e-05, 'epoch': 1.03}
{'loss': 0.4492, 'grad_norm': 0.6849570870399475, 'learning_rate': 5.059051120646924e-05, 'epoch': 1.04}
{'loss': 0.3837, 'grad_norm': 0.6837288737297058, 'learning_rate': 5e-05, 'epoch': 1.04}
{'loss': 0.5497, 'grad_norm': 0.5742632150650024, 'learning_rate': 4.940948879353078e-05, 'epoch': 1.05}
{'loss': 0.4437, 'grad_norm': 0.5858229994773865, 'learning_rate': 4.88190599552601e-05, 'epoch': 1.06}
{'loss': 0.56, 'grad_norm': 0.5825677514076233, 'learning_rate': 4.822879584189731e-05, 'epoch': 1.07}
{'loss': 0.6305, 'grad_norm': 0.5871752500534058, 'learning_rate': 4.763877878717484e-05, 'epoch': 1.07}
{'loss': 0.4859, 'grad_norm': 0.6242138147354126, 'learning_rate': 4.7049091090363865e-05, 'epoch': 1.08}
{'loss': 0.5452, 'grad_norm': 0.679189920425415, 'learning_rate': 4.645981500479466e-05, 'epoch': 1.09}
{'loss': 0.55, 'grad_norm': 0.6135930418968201, 'learning_rate': 4.5871032726383386e-05, 'epoch': 1.09}
{'loss': 0.4664, 'grad_norm': 0.6114203929901123, 'learning_rate': 4.528282638216689e-05, 'epoch': 1.1}
{'loss': 0.4431, 'grad_norm': 0.6003543138504028, 'learning_rate': 4.4695278018847105e-05, 'epoch': 1.11}
{'loss': 0.507, 'grad_norm': 0.6431266069412231, 'learning_rate': 4.410846959134667e-05, 'epoch': 1.12}
{'loss': 0.6021, 'grad_norm': 0.5928120613098145, 'learning_rate': 4.352248295137739e-05, 'epoch': 1.12}
{'loss': 0.5602, 'grad_norm': 0.6383018493652344, 'learning_rate': 4.293739983602292e-05, 'epoch': 1.13}
{'loss': 0.4399, 'grad_norm': 0.6757370829582214, 'learning_rate': 4.23533018563377e-05, 'epoch': 1.14}
{'loss': 0.5505, 'grad_norm': 0.7177237868309021, 'learning_rate': 4.17702704859633e-05, 'epoch': 1.14}
{'loss': 0.3985, 'grad_norm': 0.6427506804466248, 'learning_rate': 4.118838704976392e-05, 'epoch': 1.15}
{'loss': 0.432, 'grad_norm': 0.6767634153366089, 'learning_rate': 4.0607732712482694e-05, 'epoch': 1.16}
{'loss': 0.5626, 'grad_norm': 0.6486416459083557, 'learning_rate': 4.0028388467420385e-05, 'epoch': 1.17}
{'loss': 0.4351, 'grad_norm': 0.6783515810966492, 'learning_rate': 3.9450435125137896e-05, 'epoch': 1.17}
{'loss': 0.5178, 'grad_norm': 0.7036731839179993, 'learning_rate': 3.887395330218429e-05, 'epoch': 1.18}
{'loss': 0.5459, 'grad_norm': 0.6979228258132935, 'learning_rate': 3.8299023409851884e-05, 'epoch': 1.19}
{'loss': 0.5009, 'grad_norm': 0.6481351256370544, 'learning_rate': 3.772572564296005e-05, 'epoch': 1.2}
{'loss': 0.5645, 'grad_norm': 0.7102586627006531, 'learning_rate': 3.7154139968669044e-05, 'epoch': 1.2}
{'loss': 0.5021, 'grad_norm': 0.7106486558914185, 'learning_rate': 3.658434611532578e-05, 'epoch': 1.21}
{'loss': 0.4, 'grad_norm': 0.7004796862602234, 'learning_rate': 3.6016423561342706e-05, 'epoch': 1.22}
{'loss': 0.4771, 'grad_norm': 0.6830008625984192, 'learning_rate': 3.5450451524111775e-05, 'epoch': 1.22}
{'loss': 0.3926, 'grad_norm': 0.6501765251159668, 'learning_rate': 3.4886508948954654e-05, 'epoch': 1.23}
{'loss': 0.4962, 'grad_norm': 0.6286448836326599, 'learning_rate': 3.4324674498110954e-05, 'epoch': 1.24}
{'loss': 0.5947, 'grad_norm': 0.7450457215309143, 'learning_rate': 3.3765026539765834e-05, 'epoch': 1.25}
